design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,d_shaft_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,I_min_r,P_cr,N_max_comp,n_buck,buckling_passed
2848,0.106,0.17,0.061,0.2498097477528255,1.9905035293697608,3.1415926535897927,0.015,0.005,0.019,0.005,0.0065,0.0011,0.0022,0.022418845681880576,0.045266716941449084,0.022028646212637094,1.9791666666666668e-10,4940.849752261032,3.385381340727546,1459.4662328939296,True
2849,0.106,0.17,0.061,0.2498097477528255,1.9905035293697608,3.1415926535897927,0.01,0.008,0.008,0.013,0.0071,0.0028,0.003,0.023657812387281877,0.04951085656271192,0.02184698675903592,5.546666666666667e-10,13846.861453073445,3.4066140816722466,4064.699176689913,True
2850,0.106,0.17,0.061,0.2498097477528255,1.9905035293697608,3.1415926535897927,0.008,0.002,0.01,0.019,0.0069,0.0035,0.0016,0.004684778526620999,0.09052652113402843,0.02212820956701466,1.5833333333333334e-09,39526.79801808826,3.6240775469510096,10906.719711707809,True
2851,0.099,0.196,0.092,0.24954650025303457,1.8425209239632665,3.1415926535897927,0.014,0.01,0.02,0.02,0.0076,0.0014,0.0035,0.03897826940275695,0.22005587576065563,0.02170506531091,1.3333333333333335e-08,250405.41500750798,4.217230233855447,59376.747562246346,True
2852,0.099,0.196,0.092,0.24954650025303457,1.8425209239632665,3.1415926535897927,0.017,0.008,0.014,0.008,0.0033,0.0015,0.0027,0.03810779226727698,0.06151377838583123,0.021921659274819098,5.973333333333334e-10,11218.162592336359,3.408111919170282,3291.6062789004486,True
2853,0.099,0.196,0.092,0.24954650025303457,1.8425209239632665,3.1415926535897927,0.013,0.01,0.012,0.016,0.0037,0.0028,0.0017,0.03648306249566908,0.10544307270439603,0.022113799081512644,2.304e-09,43270.05571329738,3.6338024430909397,11907.652215812685,True
2854,0.099,0.196,0.092,0.24954650025303457,1.8425209239632665,3.1415926535897927,0.012,0.017,0.014,0.007,0.0033,0.0022,0.002,0.05712059516240997,0.05383525478138414,0.02206532744846041,4.0016666666666673e-10,7515.292517912835,3.36971353826329,2230.246705714376,True
2855,0.099,0.196,0.092,0.24954650025303457,1.8425209239632665,3.1415926535897927,0.009,0.012,0.019,0.003,0.0042,0.0029,0.0012,0.03010707900485904,0.031318483326275064,0.02217711788144575,4.275e-11,802.8623618678225,3.255277823868439,246.6340525472366,True
2856,0.099,0.196,0.092,0.24954650025303457,1.8425209239632665,3.1415926535897927,0.017,0.007,0.018,0.004,0.0048,0.0026,0.0022,0.033519755321860516,0.03961043392010703,0.022028646212637094,9.599999999999999e-11,1802.9189880540573,3.29678278487975,546.8722405136615,True
2857,0.099,0.196,0.092,0.24954650025303457,1.8425209239632665,3.1415926535897927,0.01,0.014,0.009,0.002,0.0039,0.0029,0.002,0.03913207100821109,0.009876245840884841,0.02206532744846041,5.9999999999999995e-12,112.68243675337858,3.1450110256483743,35.82894808139759,True
2858,0.099,0.196,0.092,0.24954650025303457,1.8425209239632665,3.1415926535897927,0.016,0.007,0.009,0.012,0.0031,0.002,0.0015,0.03141059482518529,0.05920870448293163,0.02214174668975898,7.289999999999999e-10,13690.916065535494,3.397635551584312,4029.5422677548336,True
2859,0.099,0.196,0.092,0.24954650025303457,1.8425209239632665,3.1415926535897927,0.01,0.005,0.008,0.014,0.0068,0.0031,0.0012,0.01383933362478211,0.06135821095346031,0.02217711788144575,5.973333333333334e-10,11218.162592336359,3.4088332335022753,3290.9097699715535,True
2860,0.099,0.196,0.092,0.24954650025303457,1.8425209239632665,3.1415926535897927,0.015,0.019,0.011,0.005,0.0079,0.0018,0.0023,0.0795568824104636,0.030188722695960457,0.02200899555058889,1.1458333333333334e-10,2151.921535220772,3.248507498397783,662.4339135070906,True
2861,0.1,0.184,0.081,0.24995537218062683,1.9525049460382686,3.1415926535897927,0.012,0.004,0.009,0.007,0.0071,0.0026,0.0038,0.013491882511424075,0.032462190416894056,0.021609432088942074,2.5725e-10,5481.972590452959,3.3345962242301903,1643.9689311165407,True
2862,0.1,0.184,0.081,0.24995537218062683,1.9525049460382686,3.1415926535897927,0.017,0.002,0.005,0.016,0.0065,0.0029,0.0039,0.009675021213475108,0.04085260686652697,0.021575807622770702,1.666666666666667e-10,3551.650528314195,3.37637554035122,1051.912172052029,True
2863,0.1,0.184,0.081,0.24995537218062683,1.9525049460382686,3.1415926535897927,0.016,0.015,0.004,0.007,0.0053,0.0017,0.0016,0.06804057081624439,0.014367699026984556,0.02212820956701466,3.733333333333334e-11,795.5697183423796,3.247221832769999,245.00011373221446,True
2864,0.1,0.184,0.081,0.24995537218062683,1.9525049460382686,3.1415926535897927,0.015,0.005,0.007,0.02,0.0063,0.0038,0.0014,0.02131198592407262,0.07190856253868769,0.0221544104497456,5.716666666666668e-10,12182.161312117687,3.5352717881321296,3445.891021169313,True
2865,0.1,0.184,0.081,0.24995537218062683,1.9525049460382686,3.1415926535897927,0.017,0.012,0.006,0.011,0.0048,0.003,0.0028,0.05808429171730073,0.033887957706910075,0.0218976417989824,1.9800000000000001e-10,4219.360827637262,3.3434841678668508,1261.9652481648277,True
2866,0.1,0.184,0.081,0.24995537218062683,1.9525049460382686,3.1415926535897927,0.019,0.006,0.019,0.005,0.0062,0.002,0.0022,0.03243538926844948,0.049052503415274375,0.022028646212637094,1.9791666666666668e-10,4217.585002373106,3.420146742676321,1233.1590775759455,True
2867,0.1,0.184,0.081,0.24995537218062683,1.9525049460382686,3.1415926535897927,0.016,0.011,0.008,0.005,0.0035,0.0038,0.0023,0.050072845569918645,0.020584566909882744,0.02200899555058889,8.333333333333336e-11,1775.8252641570975,3.2776004710589137,541.8065074854505,True
2868,0.1,0.184,0.081,0.24995537218062683,1.9525049460382686,3.1415926535897927,0.017,0.019,0.007,0.003,0.0057,0.0034,0.0026,0.09205222459986173,0.0107970599570923,0.02194480338789809,1.575e-11,335.63097492569136,3.228241223425235,103.96712999333411,True
2869,0.1,0.184,0.081,0.24995537218062683,1.9525049460382686,3.1415926535897927,0.007,0.015,0.013,0.017,0.0056,0.0023,0.0017,0.029142677059888863,0.11397105543728632,0.022113799081512644,3.1124166666666666e-09,66325.29779100341,3.745465959134348,17708.156612463914,True
2870,0.1,0.184,0.081,0.24995537218062683,1.9525049460382686,3.1415926535897927,0.005,0.017,0.011,0.008,0.0039,0.0016,0.0031,0.02362023961131756,0.04537608750477631,0.021820349194926134,4.693333333333334e-10,10001.447887732771,3.4004891003770124,2941.179222313611,True
2871,0.104,0.191,0.08,0.24975477529545614,1.7933845160851314,3.1415926535897927,0.013,0.002,0.02,0.016,0.0053,0.0011,0.0039,0.007620468355997247,0.171563975340744,0.021575807622770702,6.826666666666667e-09,135007.86997448961,4.082635587033413,33068.80251651142,True
2872,0.104,0.191,0.08,0.24975477529545614,1.7933845160851314,3.1415926535897927,0.01,0.009,0.007,0.018,0.0067,0.0012,0.0026,0.0260986748273067,0.06724674114240944,0.02194480338789809,5.145e-10,10175.031606719956,3.5661891439243525,2853.1945996344475,True
2873,0.104,0.191,0.08,0.24975477529545614,1.7933845160851314,3.1415926535897927,0.01,0.009,0.014,0.008,0.0069,0.0039,0.0016,0.026137425410131813,0.06001560687591414,0.02212820956701466,5.973333333333334e-10,11813.188622767842,3.5313600838623738,3345.223466944594,True
2874,0.104,0.191,0.08,0.24975477529545614,1.7933845160851314,3.1415926535897927,0.015,0.014,0.006,0.02,0.0046,0.0018,0.0038,0.06183750820492594,0.06387962732219502,0.021609432088942074,3.6e-10,7119.555643185975,3.547370685540944,2006.9951167509023,True
2875,0.104,0.191,0.08,0.24975477529545614,1.7933845160851314,3.1415926535897927,0.018,0.004,0.006,0.01,0.0057,0.0014,0.001,0.021226334529973055,0.03199433115593035,0.022196331862115105,1.8e-10,3559.7778215929875,3.39244201819218,1049.3260614340522,True
2876,0.104,0.191,0.08,0.24975477529545614,1.7933845160851314,3.1415926535897927,0.013,0.01,0.019,0.017,0.0062,0.0035,0.0037,0.03823162104530725,0.1737762852277759,0.021642183192355745,7.778916666666669e-09,153840.08347788922,4.094040031215677,37576.594831733535,True
2877,0.104,0.191,0.08,0.24975477529545614,1.7933845160851314,3.1415926535897927,0.009,0.019,0.013,0.014,0.0058,0.0015,0.0021,0.04968577000474545,0.0973455071411806,0.0220474235119276,2.5631666666666662e-09,50690.57696136903,3.7164960948118524,13639.346219718076,True
