design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,I_min_r,P_cr,N_max_comp,n_buck,buckling_passed
56,0.086,0.305,0.202,0.25017997723320556,1.502948673223037,3.1415926535897927,0.004,0.011,0.01,0.01,0.003,0.001,0.0019,0.029527728375804987,0.23874858652840555,0.0619576951703011,8.333333333333335e-10,6463.030383585346,1.370200524469153,4716.850029005259,True
57,0.086,0.305,0.202,0.25017997723320556,1.502948673223037,3.1415926535897927,0.006,0.01,0.004,0.007,0.0036,0.003,0.0032,0.04044710719387977,0.06646397608775832,0.061145373557862384,1.1433333333333335e-10,886.7277686279097,0.48344312821434776,1834.1925179558134,True
58,0.086,0.305,0.202,0.25017997723320556,1.502948673223037,3.1415926535897927,0.004,0.012,0.009,0.003,0.002,0.002,0.0021,0.032359093855247996,0.06451016835383236,0.0618596774795091,2.0249999999999998e-11,157.05163832112387,0.4753132416753469,330.4171324315741,True
59,0.086,0.305,0.202,0.25017997723320556,1.502948673223037,3.1415926535897927,0.004,0.011,0.004,0.009,0.0032,0.0023,0.0013,0.02941247736762515,0.08576459804152789,0.0621929376282019,2.4299999999999994e-10,1884.6196598534864,0.5834696807850444,3230.021579386569,True
60,0.086,0.305,0.202,0.25017997723320556,1.502948673223037,3.1415926535897927,0.005,0.005,0.008,0.006,0.0016,0.0028,0.0033,0.016880442504925996,0.11464546824429968,0.06106573418409388,1.44e-10,1116.8116502835476,0.727833932160475,1534.431964402162,True
61,0.112,0.176,0.055,0.24997335074441432,1.732177250086646,3.1415926535897927,0.011,0.008,0.01,0.001,0.0017,0.0018,0.0026,0.07777757577772251,0.013838338943254997,0.061571750512807596,8.333333333333334e-13,19.409329849981496,0.28366672765212647,68.42300473739046,True
62,0.112,0.176,0.055,0.24997335074441432,1.732177250086646,3.1415926535897927,0.006,0.01,0.012,0.009,0.0038,0.001,0.0027,0.05259332928385718,0.14936377125562553,0.0615068137926579,7.289999999999999e-10,16979.281752763807,0.9995745599724628,16986.508493405003,True
63,0.112,0.176,0.055,0.24997335074441432,1.732177250086646,3.1415926535897927,0.011,0.012,0.006,0.005,0.0033,0.0029,0.0024,0.11708815392578578,0.041370065412961676,0.0616942726262976,6.25e-11,1455.6997387486122,0.4209178113506606,3458.394250596085,True
64,0.112,0.176,0.055,0.24997335074441432,1.732177250086646,3.1415926535897927,0.01,0.007,0.004,0.011,0.002,0.0012,0.0035,0.06179231789591504,0.06028718974647701,0.06089910410974749,4.4366666666666663e-10,10333.527212130148,0.519837400837006,19878.383501248314,True
65,0.112,0.176,0.055,0.24997335074441432,1.732177250086646,3.1415926535897927,0.005,0.007,0.009,0.011,0.0023,0.0035,0.0039,0.03061553674528488,0.13691388851996047,0.06053643865381708,9.982499999999997e-10,23250.436227292827,0.9296669243034961,25009.42608527456,True
66,0.111,0.194,0.068,0.2497310404864361,1.6111570779737747,3.1415926535897927,0.006,0.009,0.01,0.009,0.001,0.0018,0.0019,0.047109107807461074,0.13710902558516708,0.0619576951703011,6.074999999999999e-10,11645.548401654703,0.8965813733892206,12988.835979976555,True
67,0.111,0.194,0.068,0.2497310404864361,1.6111570779737747,3.1415926535897927,0.008,0.009,0.012,0.011,0.0014,0.0027,0.001,0.06297888170259787,0.20108852042354233,0.06227747788651,1.3309999999999998e-09,25514.773535148,1.2305526416456747,20734.40230970202,True
68,0.111,0.194,0.068,0.2497310404864361,1.6111570779737747,3.1415926535897927,0.008,0.007,0.004,0.009,0.0013,0.0037,0.0038,0.048917263463083324,0.05397725382638681,0.06063078068120439,2.4299999999999994e-10,4658.219360661881,0.46699751922767063,9974.82677930652,True
69,0.111,0.194,0.068,0.2497310404864361,1.6111570779737747,3.1415926535897927,0.011,0.007,0.007,0.004,0.0023,0.0015,0.003,0.06748440414249988,0.042585325244647504,0.061297300978589986,3.733333333333334e-11,715.66607461472,0.41241374431176914,1735.3109213394778,True
