design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,angle_deg,sigma_rod,tau_rod,sigma_crank,tau_crank,sigma_pin,tau_pin,sigma,tau
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,315.0,1038523.3634702512,217218.6858039228,31054.6026175091,11497050.455149164,968379.24641885,145256.8869628275,1038523.3634702512,11497050.455149164
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,330.0,1007340.115080564,955401.8340836404,91761.29922950281,901382.64592753,1607779.1569538396,241166.87354307587,1607779.1569538396,955401.8340836404
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,345.0,949883.8358722851,935164.2244297555,95909.72135003356,6117141.503315072,1676022.5962290925,251403.38943436387,1676022.5962290925,6117141.503315072
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,0.0,325063.16280798893,93444.52559957627,277755.966694893,44935718.387152806,699147.1468657665,153620.6410202067,699147.1468657665,44935718.387152806
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,14.999999999999998,292012.7098920722,84182.33746147985,146165.96673765595,52379752.26306038,653192.9514995825,156391.856831345,653192.9514995825,52379752.26306038
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,29.999999999999996,253386.93688435573,73568.73705121965,32875.00226673502,54735892.72976492,603642.2004837296,158057.40927446194,603642.2004837296,54735892.72976492
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,45.0,210722.4389486601,62151.45899370055,185163.75833697664,50203538.54368181,557602.6418776483,157582.78988680034,557602.6418776483,50203538.54368181
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,59.99999999999999,166941.34328473057,50790.50036458677,328901.67539013206,36790708.84134278,538939.7867055635,150809.3631954237,538939.7867055635,36790708.84134278
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,75.0,127868.91723099559,41535.67571632151,363544.69040028146,13131704.864082813,628665.8171504948,125933.67891636591,628665.8171504948,13131704.864082813
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,90.0,114825.22107665011,38071.732077235094,273438.24957140273,7797475.486545853,790439.0894111668,97950.01572085613,790439.0894111668,7797475.486545853
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,105.00000000000001,127898.91724160816,41158.65983905996,339813.04692018725,12471420.222241685,664382.3123471836,119115.73727765438,664382.3123471836,12471420.222241685
